video_id,start_time,end_time,action,split,idx
Fygm03Gw19Y,30,40,helicopter,train,60046
FygsS2Tc67w,7,17,horse neighing,train,60047
FygsS2Tc67w,64,74,horse neighing,train,60048
FyiytsT_orE,30,40,driving buses,train,60049
Fyk08ud6ov4,30,40,male speech man speaking,train,60050
FylVb6iM3fM,30,40,playing violin fiddle,train,60051
Fylgg2A8574,96,106,tap dancing,train,60052
FynhhyKYLrk,141,151,subway metro underground,train,60053
FynhhyKYLrk,163,173,subway metro underground,train,60054
FyoF_afsgTI,30,40,people eating,train,60055
FyoLDrBAACQ,242,252,dog growling,train,60056
Fyr1yNEn-sA,76,86,playing oboe,train,60057
Fyr1yNEn-sA,182,192,playing oboe,train,60058
FysaBSNQAWg,9,19,fire truck siren,train,60059
FysaBSNQAWg,19,29,fire truck siren,train,60060
FyszP9lfbDk,1,11,playing didgeridoo,train,60061
FyuW5TF5R7Q,6,16,sliding door,train,60062
FyvkY_oNbh8,68,78,vehicle horn car horn honking,train,60063
FywZT6Z5rnA,30,40,playing violin fiddle,train,60064
FyxB4f19za0,30,40,horse clip-clop,train,60065
FyxRQChhl8I,0,10,lions growling,train,60066
FyyxEM0NCrA,35,45,coyote howling,train,60067
FyyxEM0NCrA,48,58,coyote howling,train,60068
Fz-dxPOWP58,38,48,baby crying,test,60069
Fz0D8NJRPXA,54,64,playing bass drum,train,60070
Fz0D8NJRPXA,78,88,playing bass drum,train,60071
Fz1SAYd7js0,30,40,thunder,test,60072
Fz1YMjLwExE,66,76,playing erhu,train,60073
Fz1YMjLwExE,291,301,playing erhu,train,60074
Fz1kd5VuoEM,20,30,bird chirping tweeting,train,60075
Fz2IQpDClBY,13,23,people sobbing,train,60076
Fz2VI-6exXU,30,40,mouse squeaking,test,60077
Fz2qv5B4CzY,30,40,driving buses,train,60078
Fz3Lyg70bDU,340,350,playing saxophone,train,60079
Fz88IKZeLIw,79,89,dog growling,train,60080
Fz88IKZeLIw,115,125,dog growling,train,60081
Fz8CUmvGh1k,91,101,slot machine,train,60082
Fz99QvWup20,30,40,raining,test,60083
FzAKTnL_mIc,237,247,people shuffling,train,60084
FzDvxNeMy1E,30,40,motorboat speedboat acceleration,train,60085
FzGEZqGXk14,9,19,lions growling,train,60086
FzJWDg6CnQM,30,40,chicken clucking,train,60087
FzLenD2pdQQ,150,160,playing electric guitar,train,60088
FzMZQbzyQOs,30,40,playing clarinet,train,60089
FzOX9-W1U2Q,130,140,singing choir,train,60090
FzOX9-W1U2Q,205,215,singing choir,train,60091
FzPplBkG_aI,10,20,chicken crowing,train,60092
FzS3nUnoDPQ,110,120,playing timpani,test,60093
FzV-FOqbOxw,46,56,footsteps on snow,train,60094
FzV6cTQ-KxQ,35,45,people burping,train,60095
FzXb2P39eDU,450,460,playing flute,train,60096
FzZWQsCFxog,130,140,playing accordion,train,60097
FzchZj-9DAE,58,68,fire truck siren,train,60098
FzcspMu6i7s,20,30,driving buses,train,60099
FzfmkWFl16g,200,210,playing violin fiddle,train,60100
FzgCq9oAXGk,0,10,basketball bounce,test,60101
FzhEJFD0hV4,48,58,baby babbling,train,60102
Fzhn86ERCRA,30,40,duck quacking,train,60103
Fzhv12bpNdI,38,48,subway metro underground,train,60104
Fzhv12bpNdI,385,395,subway metro underground,train,60105
FzkC4gkJ_Ko,191,201,sharpen knife,train,60106
FzkC4gkJ_Ko,349,359,sharpen knife,train,60107
FzmCznMhm2M,29,39,playing tambourine,train,60108
FzmCznMhm2M,94,104,playing tambourine,train,60109
FzmW0THs4UQ,44,54,eagle screaming,train,60110
Fzni0zbxvUs,25,35,playing ukulele,train,60111
Fzni0zbxvUs,70,80,playing ukulele,train,60112
Fzs-OIw-Atw,0,10,chicken crowing,test,60113
Fzv9qVu_zM4,278,288,firing muskets,train,60114
Fzv9qVu_zM4,305,315,firing muskets,train,60115
FzwWEJ0Bgvo,30,40,playing violin fiddle,train,60116
Fzz3I1PEnTQ,280,290,eating with cutlery,train,60117
FzzboZDObbs,41,51,car engine starting,test,60118
G--4oT9P9C0,93,103,plastic bottle crushing,train,60119
G--718JDmAQ,0,10,people screaming,test,60120
G-0WdQgX-bg,20,30,squishing water,train,60121
G-5AgMNzjv4,17,27,vehicle horn car horn honking,train,60122
G-7BfzMgZL8,30,40,rapping,test,60123
G-8nwFvA_Ic,30,40,bird chirping tweeting,train,60124
G-9OYC0rpB0,7,17,car engine knocking,train,60125
G-ASb67xv7g,213,223,tap dancing,train,60126
G-BDn-STvFw,36,46,police radio chatter,train,60127
G-Eokh465wM,30,40,printer printing,train,60128
G-IdABSxeHI,97,107,dinosaurs bellowing,train,60129
G-IdABSxeHI,153,163,dinosaurs bellowing,train,60130
G-JKG732bgU,23,33,rowboat canoe kayak rowing,train,60131
G-JdHAurJsw,41,51,people whispering,train,60132
G-JdHAurJsw,578,588,people whispering,train,60133
G-JxR08HEe4,328,338,airplane,train,60134
G-KeLQQ-84k,30,40,playing violin fiddle,train,60135
G-L9HQf0lL4,30,40,wind rustling leaves,train,60136
G-PXw_3bMTo,340,350,female speech woman speaking,train,60137
G-QpRMCGAD4,210,220,playing flute,train,60138
G-RoCc3bOR8,40,50,ambulance siren,train,60139
G-UIQSJk-EQ,201,211,tractor digging,train,60140
G-UIQSJk-EQ,347,357,tractor digging,train,60141
G-VvxSIWpFw,166,176,police radio chatter,train,60142
G-VvxSIWpFw,227,237,police radio chatter,train,60143
G-VwsmiBMQY,30,40,playing harpsichord,train,60144
G-XHbUOPNz8,160,170,playing marimba xylophone,train,60145
G-YuDFzrkSI,24,34,vacuum cleaner cleaning floors,train,60146
G-YuDFzrkSI,38,48,vacuum cleaner cleaning floors,train,60147
G-Z9WNT5asw,74,84,missile launch,test,60148
G-Zsoxg70sw,60,70,people hiccup,train,60149
G-_N3U9ZCzk,30,40,printer printing,train,60150
G-_aML-dyM4,34,44,cow lowing,train,60151
G-dxHaCj-lw,0,10,race car auto racing,train,60152
G-e1hdZwFYk,55,65,playing steelpan,train,60153
G-e1hdZwFYk,101,111,playing steelpan,train,60154
G-e_5fFjbrU,3,13,chicken crowing,train,60155
G-fDsFfymDo,130,140,playing saxophone,train,60156
G-fqnWkjpV8,18,28,ripping paper,train,60157
G-fqnWkjpV8,397,407,ripping paper,train,60158
G-gFuawXQmI,9,19,goose honking,train,60159
G-j8kV6z89g,30,40,playing piano,train,60160
G-jrAgJZ3nY,30,40,horse clip-clop,train,60161
G-jsAK9ITwM,30,40,ocean burbling,train,60162
G-ktor2xQ40,179,189,playing badminton,train,60163
G-lGHmNqeSA,3,13,scuba diving,train,60164
G-lGHmNqeSA,15,25,scuba diving,train,60165
G-liW4Aly0g,40,50,driving motorcycle,train,60166
G-lv4kPDwUI,62,72,playing zither,train,60167
G-lv4kPDwUI,134,144,playing zither,train,60168
G-oTq4eBvgQ,195,205,playing congas,train,60169
G-pf0FF6LWU,30,40,ambulance siren,train,60170
G-tO6Sqyiu4,30,40,chicken clucking,test,60171
G-u4dCYQOxs,18,28,wind chime,train,60172
G-u4dCYQOxs,33,43,wind chime,train,60173
G-xoOxRqsh4,14,24,frog croaking,train,60174
G-ytp-KQnE4,30,40,wind noise,train,60175
G-zVpNXq224,54,64,playing table tennis,train,60176
G0-fYCo9Chs,470,480,female speech woman speaking,train,60177
G03JOVyWUCA,9,19,owl hooting,train,60178
G03JOVyWUCA,59,69,owl hooting,train,60179
G03Ps2hAL98,10,20,splashing water,train,60180
G06V7P0wKYE,62,72,civil defense siren,train,60181
G08C6YlpcQ4,612,622,bird chirping tweeting,train,60182
G08xRUmPvKw,53,63,car engine knocking,train,60183
G08xRUmPvKw,64,74,car engine knocking,train,60184
G09Nk4PJSvI,30,40,playing acoustic guitar,train,60185
G0A4ZveOzm0,390,400,playing drum kit,train,60186
G0C-D1cv1Og,0,10,splashing water,train,60187
G0E7oBQKM1Q,112,122,sharpen knife,train,60188
G0E7oBQKM1Q,165,175,sharpen knife,train,60189
G0EUYO0y8sM,170,180,ice cream truck ice cream van,train,60190
G0EUYO0y8sM,219,229,ice cream truck ice cream van,train,60191
G0FdC2iXWaI,30,40,playing banjo,train,60192
G0GGA400Y78,30,40,fireworks banging,train,60193
G0HFtirrIzw,29,39,rowboat canoe kayak rowing,train,60194
G0IsabU5hn4,3,13,wind rustling leaves,train,60195
G0Jy1Jp7Juo,5,15,dog growling,train,60196
G0OfGvwNO40,118,128,black capped chickadee calling,train,60197
G0OfGvwNO40,241,251,black capped chickadee calling,train,60198
G0QfbR3J1vU,60,70,people crowd,train,60199
G0SUSiUozWM,236,246,popping popcorn,test,60200
G0Sp0Qgfoyc,200,210,playing marimba xylophone,train,60201
G0ThBYwxMyk,280,290,orchestra,train,60202
G0Wk93SHD2g,18,28,people marching,train,60203
G0WpsJ9wp_A,20,30,playing snare drum,train,60204
G0ZSQ98EZgc,173,183,tap dancing,train,60205
G0_OYw8gIt0,242,252,canary calling,train,60206
G0_OYw8gIt0,481,491,canary calling,train,60207
G0cQdlAcWxE,90,100,toilet flushing,train,60208
G0f0pHLf44E,1,11,heart sounds heartbeat,train,60209
G0f8vsNadPc,116,126,people humming,train,60210
G0jSC1c41YY,30,40,wind noise,train,60211
G0k4pfujS8I,18,28,airplane flyby,train,60212
G0k4pfujS8I,82,92,airplane flyby,train,60213
G0mzVsIEyDo,13,23,dog growling,train,60214
G0mzVsIEyDo,90,100,dog growling,train,60215
G0naz0SdxiQ,140,150,playing electric guitar,train,60216
G0p5d3PuLww,81,91,playing djembe,train,60217
G0u2hlwiwjI,139,149,alligators crocodiles hissing,train,60218
G0w4RcrTJGA,9,19,whale calling,test,60219
G0wD1aeAdcg,30,40,male singing,train,60220
G1-XHWLgtlA,0,10,playing cymbal,test,60221
G11_iEsyjAc,28,38,baby crying,train,60222
G13B0dAYqHU,30,40,driving buses,train,60223
G13txQAFxeI,6,16,people babbling,train,60224
G13txQAFxeI,22,32,people babbling,train,60225
G16VXyzd7G4,1,11,frog croaking,train,60226
G16VXyzd7G4,12,22,frog croaking,train,60227
G17hV80nbAg,5,15,people screaming,train,60228
G19YuFuEskA,72,82,playing tambourine,train,60229
G1DBmpPGp6w,171,181,ripping paper,train,60230
G1DBmpPGp6w,196,206,ripping paper,train,60231
G1EaLlDcS0k,17,27,basketball bounce,train,60232
G1I9mmAGK6w,40,50,typing on computer keyboard,train,60233
G1Ifpgvd69g,308,318,people slurping,train,60234
G1Ifpgvd69g,326,336,people slurping,train,60235
G1JOhBAtlVQ,30,40,railroad car train wagon,train,60236
G1LhbF6TxXs,60,70,ocean burbling,train,60237
G1Oj47ygCmA,190,200,playing piano,train,60238
G1OlHEvPRT8,30,40,wind rustling leaves,test,60239
G1Pn77sJ7Hk,220,230,driving buses,train,60240
G1PwxUY81Os,23,33,underwater bubbling,train,60241
G1R4YuADh_s,164,174,skiing,train,60242
G1SbeJY0wTg,165,175,people booing,train,60243
G1SimoXGg_M,66,76,playing bassoon,train,60244
G1TXz1_565c,94,104,chainsawing trees,train,60245
G1Uxslcn1Uc,140,150,playing bass guitar,train,60246
G1WNV_NmkFA,30,40,splashing water,train,60247
G1YXdISd6Zs,3,13,cat caterwauling,train,60248
G1YXdISd6Zs,67,77,cat caterwauling,train,60249
G1_5glwKjeA,166,176,playing volleyball,train,60250
G1_Eb9rsfrA,30,40,people whistling,train,60251
G1bhPPQNHJ8,172,182,playing shofar,train,60252
G1bhPPQNHJ8,244,254,playing shofar,train,60253
G1czfBkxbBk,73,83,playing djembe,train,60254
G1czfBkxbBk,131,141,playing djembe,train,60255
G1dURV3JUXY,27,37,mouse pattering,train,60256
G1ejgDNLB2o,30,40,driving buses,train,60257
G1fp6Aok5Eg,30,40,orchestra,train,60258
G1gWmPhsDD0,70,80,lawn mowing,train,60259
G1grpUhjti8,18,28,tap dancing,train,60260
G1hyRL9De7E,223,233,elk bugling,train,60261
G1ibv_z4ZYU,109,119,playing djembe,train,60262
G1ibv_z4ZYU,134,144,playing djembe,train,60263
G1onaNOrHHo,59,69,eletric blender running,train,60264
G1otrlPuaMY,0,10,playing theremin,train,60265
G1r75_FUAQA,19,29,wind noise,train,60266
G1tPe2TZimA,40,50,arc welding,train,60267
G1ug_YNP9k0,280,290,playing banjo,train,60268
G1urQc7zoqw,93,103,people booing,train,60269
G1wC_vMUvw8,60,70,playing drum kit,train,60270
G1x66WZKZKQ,215,225,train horning,train,60271
G1x66WZKZKQ,255,265,train horning,train,60272
G21vZyuVLpg,149,159,people eating noodle,train,60273
G27j0yuYtQs,57,67,baby babbling,train,60274
G2DU8YkGPZg,154,164,golf driving,train,60275
G2E9YW83ak4,30,40,police car (siren),train,60276
G2EQQfz5drM,123,133,slot machine,train,60277
G2Gssy1UhEk,0,10,playing lacrosse,train,60278
G2Gssy1UhEk,13,23,playing lacrosse,train,60279
G2HzDuW3jhQ,40,50,splashing water,train,60280
G2J0-x4JtDE,18,28,firing muskets,train,60281
G2J0-x4JtDE,397,407,firing muskets,train,60282
G2Ko0bwzbVs,1549,1559,playing lacrosse,test,60283
G2KruS9nW70,30,40,thunder,train,60284
G2LsLEhzlsA,203,213,cell phone buzzing,train,60285
G2LzSItsQ80,166,176,playing hammond organ,train,60286
G2LzSItsQ80,231,241,playing hammond organ,train,60287
G2NIEiMdH4A,130,140,using sewing machines,train,60288
G2Qb6n6B8r0,25,35,dog barking,train,60289
G2Rv3csIhRs,47,57,tractor digging,train,60290
G2Rv3csIhRs,139,149,tractor digging,train,60291
G2SKmJO83fY,70,80,playing banjo,train,60292
G2US0V8KoJw,93,103,fire truck siren,train,60293
G2US0V8KoJw,142,152,fire truck siren,train,60294
G2Ul-E5UkNI,190,200,female speech woman speaking,train,60295
G2ZO2l2gt9s,90,100,lawn mowing,train,60296
G2_FRWIUZ30,542,552,sharpen knife,train,60297
G2_FRWIUZ30,588,598,sharpen knife,train,60298
G2atGrSx7ws,1,11,snake hissing,train,60299
G2dYzDSKBXU,103,113,bull bellowing,train,60300
G2dYzDSKBXU,252,262,bull bellowing,train,60301
G2einOSg8AE,180,190,playing piano,train,60302
G2g2TZBoo0U,27,37,machine gun shooting,train,60303
G2g2TZBoo0U,43,53,machine gun shooting,train,60304
G2jq2X-00n4,0,10,car engine starting,test,60305
G2kKJ8w7hNw,675,685,playing saxophone,train,60306
G2kfsLDgwFU,220,230,people clapping,train,60307
G2l7GWrqIV0,125,135,typing on typewriter,train,60308
G2l7GWrqIV0,140,150,typing on typewriter,train,60309
G2lWsGPUpZ4,17,27,ambulance siren,train,60310
G2lg-0w4kYg,29,39,playing glockenspiel,train,60311
G2lg-0w4kYg,52,62,playing glockenspiel,train,60312
G2p5RwBK7m8,29,39,electric grinder grinding,train,60313
G2p5RwBK7m8,99,109,electric grinder grinding,train,60314
G2pp64Uc9aQ,280,290,playing synthesizer,train,60315
G2tgsU9FhKc,42,52,planing timber,train,60316
G2x4cmzDe-g,262,272,electric shaver electric razor shaving,train,60317
G2xTPGTRwYs,30,40,motorboat speedboat acceleration,train,60318
G2zC8-a0YJg,30,40,chainsawing trees,train,60319
G2zFqLY29Ws,127,137,crow cawing,train,60320
G3-i5zqmMjY,0,10,crow cawing,train,60321
G3-i5zqmMjY,141,151,crow cawing,train,60322
G324WUG_2tA,122,132,playing timpani,train,60323
G324WUG_2tA,140,150,playing timpani,train,60324
G32PF3HjPAw,20,30,skateboarding,train,60325
G34M-M6ErcY,104,114,bowling impact,train,60326
G34M-M6ErcY,169,179,bowling impact,train,60327
G36wZz8t1BI,10,20,printer printing,train,60328
G3BPt0be08k,23,33,metronome,train,60329
G3BPt0be08k,116,126,metronome,train,60330
G3BXutSHHtI,190,200,ripping paper,train,60331
G3BXutSHHtI,476,486,ripping paper,train,60332
G3DdnBL0waA,100,110,raining,train,60333
G3GR-m8Q3Zk,70,80,machine gun shooting,test,60334
G3GsSSUIQlY,24,34,ambulance siren,train,60335
G3L0OK5yflI,10,20,people crowd,train,60336
G3NNd47kypU,10,20,bird chirping tweeting,train,60337
G3OvUo-u1xY,33,43,reversing beeps,train,60338
G3QXyMYSefs,203,213,vacuum cleaner cleaning floors,train,60339
G3RULfPXWPk,20,30,mynah bird singing,train,60340
G3RULfPXWPk,215,225,mynah bird singing,train,60341
G3RbotIsvdU,29,39,rope skipping,train,60342
G3RbotIsvdU,66,76,rope skipping,train,60343
G3SrXfkVyPM,232,242,cell phone buzzing,train,60344
G3Szo_Im5rs,30,40,playing accordion,train,60345
G3TDcRENinY,603,613,people eating noodle,train,60346
G3TDcRENinY,618,628,people eating noodle,train,60347
G3UhV3sMRes,10,20,ambulance siren,train,60348
G3UylSzasmk,181,191,tapping guitar,train,60349
G3UylSzasmk,274,284,tapping guitar,train,60350
G3X_xSGkpss,68,78,alligators crocodiles hissing,train,60351
G3X_xSGkpss,409,419,alligators crocodiles hissing,train,60352
G3YbasoBKpY,106,116,planing timber,train,60353
G3YbasoBKpY,148,158,planing timber,train,60354
G3Z6V6W3wZo,61,71,playing steelpan,train,60355
G3Z6V6W3wZo,115,125,playing steelpan,train,60356
G3ZZMwEQNCM,160,170,playing cornet,train,60357
G3ZZMwEQNCM,240,250,playing cornet,train,60358
G3Ze1ntr30g,440,450,baby laughter,test,60359
G3bXN7KSCUY,23,33,planing timber,train,60360
G3buYtGqShg,30,40,car engine knocking,train,60361
G3c7Ye58Y2Q,25,35,driving snowmobile,test,60362
G3fcLfe2HWs,110,120,stream burbling,train,60363
G3hj3PqGst4,510,520,playing clarinet,train,60364
G3jIs8P448g,380,390,people babbling,train,60365
G3lDaaC3K4E,160,170,playing piano,train,60366
G3m3xJxr5YE,300,310,female speech woman speaking,train,60367
G3mRKN0pDl8,30,40,child speech kid speaking,train,60368
G3o0jYyhcHU,49,59,cheetah chirrup,train,60369
G3pBrn9gHyM,23,33,playing bongo,train,60370
G3qYXGGBIt0,30,40,motorboat speedboat acceleration,train,60371
G3sX-utoR5w,71,81,civil defense siren,train,60372
G3sX-utoR5w,186,196,civil defense siren,train,60373
G3u-26z-RqA,34,44,ripping paper,train,60374
G3vvDzAIWbY,40,50,playing clarinet,train,60375
G3vxfM6DimU,42,52,rapping,train,60376
G3wmwpXvOH0,150,160,child speech kid speaking,train,60377
G40XFJ5YKXs,216,226,police radio chatter,train,60378
G40XFJ5YKXs,275,285,police radio chatter,train,60379
G41ltZfbXoU,46,56,playing erhu,train,60380
G42Mo8rKQ7U,6,16,chainsawing trees,train,60381
G43UlFUtPr8,160,170,skidding,train,60382
G45STMBr2qA,20,30,driving buses,train,60383
G45jgYtWpvc,0,10,crow cawing,train,60384
G46vgxaBlZE,178,188,playing synthesizer,train,60385
G46vgxaBlZE,315,325,playing synthesizer,train,60386
G48PLd2JiPk,139,149,beat boxing,train,60387
G49tmZL4ljs,130,140,people sneezing,train,60388
G49tmZL4ljs,157,167,people sneezing,train,60389
G4BUkOjxuZo,37,47,playing theremin,train,60390
G4BVvj3UEhM,28,38,civil defense siren,train,60391
G4BVvj3UEhM,61,71,civil defense siren,train,60392
G4HCQWm_-nw,30,40,lawn mowing,train,60393
G4KiLnS1sgg,29,39,lathe spinning,train,60394
G4KiLnS1sgg,80,90,lathe spinning,train,60395
G4LbWF8iYiA,286,296,female speech woman speaking,train,60396
G4MjpRDRZkQ,30,40,playing marimba xylophone,train,60397
G4NEbfcRqzg,80,90,mouse pattering,train,60398
G4Q5X99W26c,17,27,playing hammond organ,train,60399
G4Q5X99W26c,82,92,playing hammond organ,train,60400
G4THf56Jf_o,10,20,goose honking,train,60401
G4TowkVcclw,90,100,lawn mowing,train,60402
G4UyOI5kTpc,16,26,goose honking,train,60403
G4VEpF1ab0g,70,80,horse clip-clop,train,60404
G4YJUKofIHk,5,15,cupboard opening or closing,test,60405
G4_Yy4ZNfZ0,73,83,volcano explosion,train,60406
G4dRBai9VDM,251,261,bouncing on trampoline,train,60407
G4dzOGYL4R0,260,270,playing trumpet,train,60408
G4fTKotMoWI,30,40,playing acoustic guitar,test,60409
G4hH4KUxexI,49,59,wood thrush calling,train,60410
G4hH4KUxexI,267,277,wood thrush calling,train,60411
G4kqAg8lxc4,218,228,foghorn,test,60412
G4lHrxChh5U,40,50,chicken crowing,train,60413
G4oMpnsYvlM,196,206,bull bellowing,train,60414
G4oMpnsYvlM,297,307,bull bellowing,train,60415
G4pkGRd2GH4,137,147,yodelling,train,60416
G4s6TlyNwLI,10,20,subway metro underground,train,60417
G4sEMmuaD-U,30,40,playing clarinet,train,60418
G4w9Ct29rvE,90,100,railroad car train wagon,train,60419
G4yOLeH2k-E,0,10,typing on computer keyboard,train,60420
G4zrDnwfrg4,13,23,cat purring,train,60421
G4zrDnwfrg4,38,48,cat purring,train,60422
G5-Q3SegMa0,30,40,playing flute,test,60423
G50slWZJlHs,0,10,people babbling,train,60424
G52wVwwmibw,110,120,waterfall burbling,train,60425
G53no4LqsAw,30,40,sailing,train,60426
G54igYcvHrk,139,149,dog howling,train,60427
G54igYcvHrk,152,162,dog howling,train,60428
G5B2TGKNOIM,30,40,playing double bass,train,60429
G5FUvPpiUsM,8,18,pig oinking,train,60430
G5F_GJCm7ZM,210,220,playing badminton,train,60431
G5HdqoRIlQc,0,10,race car auto racing,train,60432
G5LqrMcq1QE,280,290,playing trombone,test,60433
G5MPe9RPVlU,230,240,opening or closing car doors,train,60434
G5MPe9RPVlU,270,280,opening or closing car doors,train,60435
G5ND4cCGR30,30,40,singing choir,train,60436
G5NFjT8PPQU,58,68,squishing water,train,60437
G5OR-RwVLRk,185,195,sliding door,train,60438
G5R-F1RmL5Y,250,260,lighting firecrackers,train,60439
G5R-F1RmL5Y,620,630,lighting firecrackers,train,60440
G5SRbA9h9C4,5,15,black capped chickadee calling,train,60441
G5SRbA9h9C4,250,260,black capped chickadee calling,train,60442
G5UQ6BAUvgs,189,199,ice cream truck ice cream van,train,60443
G5VoFgn3oUs,15,25,train whistling,train,60444
G5VoFgn3oUs,103,113,train whistling,train,60445
G5W05mTOrHk,140,150,playing trombone,train,60446
G5W1JBEoMUY,61,71,playing accordion,train,60447
G5Y-yV9JqRo,174,184,playing erhu,train,60448
G5Y-yV9JqRo,445,455,playing erhu,train,60449
G5YGWVtQSew,32,42,crow cawing,train,60450
G5YGWVtQSew,52,62,crow cawing,train,60451
G5Zk3PqFcVY,20,30,driving motorcycle,train,60452
G5_HPIyAD6k,70,80,skateboarding,train,60453
G5aSjiWOywQ,30,40,pigeon dove cooing,train,60454
G5cUjqW99ak,157,167,ice cream truck ice cream van,train,60455
G5cUjqW99ak,237,247,ice cream truck ice cream van,train,60456
G5c_4aD5Y2E,50,60,church bell ringing,train,60457
G5dqj3iiHLY,1767,1777,playing erhu,train,60458
G5enoQiFPww,420,430,playing drum kit,train,60459
G5gJpi1mUps,7,17,dog growling,train,60460
G5gJpi1mUps,19,29,dog growling,train,60461
G5gpnO9RNzQ,20,30,playing zither,train,60462
G5gpnO9RNzQ,220,230,playing zither,train,60463
G5hP6Eeyvis,490,500,playing banjo,train,60464
G5iw0kKiAsw,135,145,beat boxing,train,60465
G5jekk6z4tQ,45,55,opening or closing car doors,test,60466
G5kO_RgDvT8,8,18,mouse clicking,train,60467
G5kO_RgDvT8,44,54,mouse clicking,train,60468
G5o6gQ5NyHM,4,14,hedge trimmer running,train,60469
G5rreaHcOeI,120,130,playing banjo,train,60470
G5uM_9n3Ok8,240,250,people belly laughing,train,60471
G5yYzGt2OGM,95,105,cricket chirping,train,60472
G619hXjumN0,190,200,waterfall burbling,train,60473
G62A4AbjLUY,200,210,people running,train,60474
G646Txpnjs8,0,10,car engine knocking,train,60475
G659eN6Ga4k,204,214,striking pool,train,60476
G659eN6Ga4k,540,550,striking pool,train,60477
G665JSzM9ic,70,80,playing volleyball,train,60478
G66KjU3GYlQ,57,67,playing volleyball,train,60479
G69-ors4JFU,44,54,skateboarding,train,60480
G69-ors4JFU,348,358,skateboarding,train,60481
G69fjUmKw3c,120,130,canary calling,train,60482
G69fjUmKw3c,158,168,canary calling,train,60483
G69u4_JkHBM,80,90,female singing,train,60484
G6E8akytRyw,59,69,bouncing on trampoline,train,60485
G6E8akytRyw,70,80,bouncing on trampoline,train,60486
G6FhQuR3_88,0,10,playing congas,train,60487
G6Fo8EaEbPs,20,30,elk bugling,train,60488
G6Fo8EaEbPs,30,40,elk bugling,train,60489
G6FxoIbhWUA,30,40,toilet flushing,train,60490
G6Gx9hyW3vU,30,40,goose honking,train,60491
G6Nip_9mZJw,98,108,playing volleyball,train,60492
G6P5WEBap1M,200,210,people crowd,train,60493
G6SoJ8JPG5M,110,120,helicopter,train,60494
G6TjN-FQtko,624,634,heart sounds heartbeat,train,60495
G6TjN-FQtko,710,720,heart sounds heartbeat,train,60496
G6XFRkbW1wQ,30,40,playing cello,train,60497
G6XhCGAzcB4,580,590,driving motorcycle,train,60498
G6Z2PeDl91U,130,140,orchestra,train,60499
G6__pct5bis,17,27,playing glockenspiel,train,60500
G6__pct5bis,35,45,playing glockenspiel,train,60501
G6abZ8Eze6E,240,250,ocean burbling,train,60502
G6f0HgFqxRs,19,29,baby laughter,train,60503
G6f0HgFqxRs,35,45,baby laughter,train,60504
G6gdcHPHuCs,290,300,orchestra,train,60505
G6jdb0gs9JM,18,28,people shuffling,train,60506
